Job Title,Company,Location,Salary,Write Time,Release Time
IT Infrastructure Engineer,Genesis Recruitment Solutions,Sydney NSW,N/A,2023/11/15 15:41,Unknown
Senior Hybrid Cloud Infrastructure Engineer,IMB Limited,Wollongong,N/A,2023/11/15 15:41,Unknown
AWS DevOps Engineer,The Onset,Sydney NSW,"$160,000 - $165,000 + Super",2023/11/15 15:41,1h ago
Lead DevOps Cloud Engineer,Ethos BeathChapman,Sydney NSW,$180k-$200k + Super&Bonus,2023/11/15 15:41,2d ago
DevOps Engineer,The Recruitment Company,Sydney NSW,$700 - $800 inc Super per day,2023/11/15 15:41,1d ago
DevOps Engineer,Ozsale,Melbourne VIC,N/A,2023/11/15 15:41,9h ago
Senior DevOps Engineer,Ethos BeathChapman,Sydney NSW,$160k-$170k + Super&Bonus,2023/11/15 15:41,2h ago
Junior and Mid-level DevOps Engineers NV1,Cogito Group,Canberra ACT,N/A,2023/11/15 15:41,8d ago
Senior DevOps Engineer,Racing & Wagering Western Australia,Osborne Park,N/A,2023/11/15 15:41,5h ago
Azure DevOps Engineer,Recruitment Hive,Canberra ACT,$125 - $150 p.h. + all client fees disclosed,2023/11/15 15:41,6d ago
Devops Engineer,uniqueHire PTY LTD,Sydney NSW,"$150,000 – $175,000 per year",2023/11/15 15:41,7d ago
Senior Platform Engineer (DevOps & Databricks),Nuage Technology Group,Sydney NSW,$125 – $131.25 per hour,2023/11/15 15:41,1d ago
DevOps Engineer,Macquarie Group Limited,Sydney NSW,N/A,2023/11/15 15:41,2d ago
Application DevOps Engineer,Origin,Brisbane QLD,N/A,2023/11/15 15:41,2d ago
DevOps Engineer,Fair Work Ombudsman,Canberra ACT,"$93,090 to $127,756 plus 15.4% superannuation",2023/11/15 15:41,9d ago
DevOps Engineer,Heritage and People's Choice,Adelaide SA,N/A,2023/11/15 15:41,12d ago
DevOps Engineer,Special Broadcasting Service,Sydney NSW,N/A,2023/11/15 15:41,1d ago
DevOps Engineer,Ampersand International,Sydney NSW,"Pay rate: $1,000 / day + super",2023/11/15 15:41,7d ago
DevOps Engineer,Siemens Ltd,Bayswater,N/A,2023/11/15 15:41,6d ago
Cloud Engineer,AJQ,Sydney NSW,"$150,000 – $160,000 per year",2023/11/15 15:41,2d ago
Senior Cloud DevOps Engineer,Talenza,Sydney NSW,$950.00 - $980.00 p.d. + + Super,2023/11/15 15:41,7d ago
Senior DevOps Engineer,Genesis Recruitment Solutions,Melbourne VIC,$800-$1000 per Day,2023/11/15 15:41,5d ago
Technical Lead/Systems Engineer,Myriota,Adelaide SA,N/A,2023/11/15 15:41,Unknown
Product and Infrastructure Support Engineer,Canberra Consulting,Canberra ACT,AUD 120000 - 160000 per annum,2023/11/15 15:41,Unknown
DevOps Engineer (Aus Citizenship required),The Argyle Network,Melbourne VIC,N/A,2023/11/15 15:41,8h ago
DevOps Engineer,TABCORP,Melbourne VIC,N/A,2023/11/15 15:41,1d ago
DevOps Engineer,Fair Work Ombudsman,Adelaide SA,"$93,090 to $127,756 plus 15.4% superannuation",2023/11/15 15:41,9d ago
Principal Cloud Solutions Engineer (AWS),Robert Walters,Sydney NSW,Attractive Salary Package,2023/11/15 15:41,2d ago
DevOps Engineer,Fair Work Ombudsman,Sydney NSW,"$93,090 to $127,756 plus 15.4% superannuation",2023/11/15 15:41,9d ago
Senior DevOps Engineer,Morgan McKinley,Sydney NSW,"$150,000 – $180,000 per year",2023/11/15 15:41,6d ago
DevOps Engineer,Fair Work Ombudsman,Melbourne VIC,"$93,090 to $127,756 plus 15.4% superannuation",2023/11/15 15:41,9d ago
Senior DevOps Engineer,West Recruitment,Sydney NSW,$200k ++,2023/11/15 15:41,6d ago
Senior DevOps Engineer - AWS | Azure | CI/CD,Genesis Recruitment Solutions,Canberra ACT,$800-$1000 per Day,2023/11/15 15:41,5d ago
DevOps Engineer - NV1,Collabera Technologies Pty Ltd,Canberra ACT,$120 – $140 per hour,2023/11/15 15:41,13d ago
DevOps Engineer,Fair Work Ombudsman,Brisbane QLD,"$93,090 to $127,756 plus 15.4% superannuation",2023/11/15 15:41,9d ago
Senior DevOps Engineer,Shine Solutions,Sydney NSW,"Competitive Salaries, Financial & Tech Perks!",2023/11/15 15:41,2d ago
DevOps Engineer,NewyTechPeople,Newcastle,"AUD 550 per day, + Super",2023/11/15 15:41,12d ago
Senior DevOps Engineer- Azure,Technology People,Melbourne VIC,170000,2023/11/15 15:41,2d ago
DevOps Engineer,Clicks IT Recruitment (QLD),Brisbane QLD,N/A,2023/11/15 15:41,7d ago
Cloud Engineer,Bank of Queensland,Sydney NSW,N/A,2023/11/15 15:41,1d ago
Cloud Automation and DevOps Lead,RACWA,West Perth,N/A,2023/11/15 15:41,8d ago
Cloud Engineer,Bank of Queensland,Melbourne VIC,N/A,2023/11/15 15:41,1d ago
Principal Cloud Solutions Engineer - AWS,Robert Walters,Melbourne VIC,$190k - $220k p.a. incl super + bonus,2023/11/15 15:41,5d ago
Senior Software Engineer Specializing in DevOps,ESE Recruitment,Mulgrave,N/A,2023/11/15 15:41,1h ago
DevOps Engineer,Fair Work Ombudsman,Canberra ACT,"$93,090 to $127,756 plus 15.4% superannuation",2023/11/15 15:41,Unknown
Systems Engineer,State Technics,Kent Town,N/A,2023/11/15 15:41,Unknown
DevOps Engineer,Heritage and People's Choice,Brisbane QLD,N/A,2023/11/15 15:41,12d ago
DevOps Engineer,Cleared,Canberra ACT,$230k - $270k p.a.,2023/11/15 15:41,14d ago
DevOps Engineer,BLACKROC,Brisbane QLD,N/A,2023/11/15 15:41,7d ago
Cloud Engineer,Bank of Queensland,Brisbane QLD,N/A,2023/11/15 15:41,1d ago
DevOps Engineer,N/A,Melbourne VIC,"$135,000 – $150,000+Super",2023/11/15 15:41,14d ago
DevOps Engineer - 6 month contract,Davidson,Melbourne VIC,$1k - $1100 p.a. + 6 month contract,2023/11/15 15:41,9d ago
Senior Azure DevOps Engineer - terraform- Major Bank,Bluefin Resources Pty Limited,Sydney NSW,N/A,2023/11/15 15:41,2d ago
Cloud Architet & Cloud Engineer,Recruitment Hive,Canberra ACT,$120 - $160 p.h. + All Client Fees Disclosed,2023/11/15 15:41,2d ago
Senior Devops Engineer,TL Consulting Group,Melbourne VIC,N/A,2023/11/15 15:41,9d ago
Senior Cloud DevOps Engineer,Natural Selection Group,Melbourne VIC,N/A,2023/11/15 15:41,5d ago
Cloud Engineer - Hybrid WFH,Telstra Health,Brisbane QLD,N/A,2023/11/15 15:41,5d ago
Senior DevOps Engineer,N/A,Sydney NSW,"$140,000 – $160,000+Super",2023/11/15 15:41,9d ago
DevOps Cloud Engineer,Aerometrex,Adelaide SA,N/A,2023/11/15 15:41,13d ago
Cloud Engineer,Fitness And Lifestyle Group Bidco Pty Ltd,West End,Competitive plus Super and Benefits,2023/11/15 15:41,8h ago
Lead DevOps Engineer,ABC,Sydney NSW,N/A,2023/11/15 15:41,7d ago
Lead DevOps Engineer,ABC,Melbourne VIC,N/A,2023/11/15 15:41,7d ago
DevOps Engineer,Ambition,Melbourne VIC,$145000.00 - $155000.00 p.a.,2023/11/15 15:41,15d ago
Senior DevOps/ Cloud Engineer,Fastlane Solutions,Sydney NSW,N/A,2023/11/15 15:41,6d ago
Lead DevOps Engineer,ABC,Brisbane QLD,N/A,2023/11/15 15:41,7d ago
DevOps Engineer (Azure),Nuage Technology Group,Sydney NSW,$90 – $97 per hour,2023/11/15 15:41,14d ago
Software Engineering Manager,Freelancer.com,Sydney NSW,N/A,2023/11/15 15:41,Unknown
Lead Automation Engineer,Winning Group,Waterloo,N/A,2023/11/15 15:41,Unknown
DevOps Engineer,Davidson,Brisbane QLD,$120k - $150k p.a.,2023/11/15 15:41,16d ago
Cloud Engineer,Hays | Technology,Canberra ACT,N/A,2023/11/15 15:41,2d ago
DevOps Engineer,Schoolbox Pty. Ltd.,Camberwell,N/A,2023/11/15 15:41,15d ago
Cloud Engineer and Cloud Architect,The Network,Canberra ACT,N/A,2023/11/15 15:41,1d ago
DevOps Engineer - Internet Security Technology Company,MCS Consulting,Sydney NSW,$120k to $150k base + super + options,2023/11/15 15:41,9d ago
Cloud Engineer,AC3 Pty Limited,Sydney NSW,"$115,000 - $125,000 Base + Super + Bonus",2023/11/15 15:41,13d ago
System Engineer (DevOps),360HR Solutions Pty Ltd,Melbourne VIC,Fully-remote working (from Melbourne),2023/11/15 15:41,13d ago
Cloud Engineer,Hearing Australia,Macquarie Park,Competitive Base Salary + 15.4% Super,2023/11/15 15:41,6d ago
Azure DevOps Engineer- Citrix /  or VDI,Bluefin Resources Pty Limited,Sydney NSW,N/A,2023/11/15 15:41,6d ago
Systems Engineer - Kubernetes/DevOps,Commonwealth Bank - Retail Banking Services,Eveleigh,N/A,2023/11/15 15:41,12d ago
DevOps Engineer (Azure),Northbridge Recruitment,Melbourne VIC,$800-950 per day,2023/11/15 15:41,12d ago
Senior Azure DevOps Engineer,TheDriveGroup,Sydney NSW,"$950 - $1,100 p/d inc super + gst",2023/11/15 15:41,11d ago
Cloud Engineer,"Hudson - Technology, Projects & Transformation",Canberra ACT,N/A,2023/11/15 15:41,21h ago
Site Reliability Engineer - Level 3,Transmax Pty Ltd,Brisbane QLD,N/A,2023/11/15 15:41,2d ago
DevOps Engineer,AIA Australia Limited,Melbourne VIC,N/A,2023/11/15 15:41,13d ago
DevOps Engineer,Interface Recruitment,Melbourne VIC,$90 – $125 per hour,2023/11/15 15:41,20d ago
DevOps Engineer,TAFE NSW,Sydney NSW,N/A,2023/11/15 15:41,14d ago
AWS Cloud Infrastructure Engineer - mainly WFH,Robert Half,Sydney NSW,$130k - $140k p.a. + +Super,2023/11/15 15:41,13d ago
Cloud Automation Engineer & Cloud Identity Engineer,Akkodis,Canberra ACT,$110 - $150 p.h. + Flexible work environment + Lon,2023/11/15 15:41,1d ago
DevOps Engineer,TAFE NSW,Sydney NSW,N/A,2023/11/15 15:41,14d ago
DevOps Engineer,Fair Work Ombudsman,Adelaide SA,"$93,090 to $127,756 plus 15.4% superannuation",2023/11/15 15:41,Unknown
Data Engineer - IBM MDM,Tech Mahindra Limited,Brisbane QLD,"$135,000 – $145,000 per year",2023/11/15 15:41,Unknown
Mid - Senior Devops Engineer | Contract | 850 - 1000 P/D,iterate,Melbourne VIC,N/A,2023/11/15 15:41,14d ago
Senior Manager DevOps,AIA Australia Limited,Melbourne VIC,N/A,2023/11/15 15:41,8d ago
DevOps Engineer,Solis Security,Bundall,N/A,2023/11/15 15:41,14d ago
Cloud Architect / Lead Engineer,Just Digital People,Melbourne VIC,"$180,000 + Super + Bonus + Benefits",2023/11/15 15:41,1d ago
Site Reliability Engineer - Calypso Platform,Macquarie Group Limited,Sydney NSW,competitive remuneration,2023/11/15 15:41,8h ago
Cloud Automation Engineer,Aurec,Canberra ACT,N/A,2023/11/15 15:41,1d ago
DevOps Engineer | Long term day rate contract,Robert Half,Melbourne VIC,Up to $220k p.a. + package,2023/11/15 15:41,21d ago
DevOps Engineer,MYOB,Melbourne VIC,N/A,2023/11/15 15:41,14d ago
Senior Hybrid Cloud Infrastructure Engineer,IMB Limited,Wollongong,N/A,2023/11/15 15:41,1d ago
Azure Cloud Engineer,Flight Centre Travel Group,South Brisbane,N/A,2023/11/15 15:41,1d ago
Azure DevOps Engineer,Fractal,Sydney NSW,"$110,000 – $150,000 per year",2023/11/15 15:41,13d ago
DevOps Engineer,Opus Recruitment Solutions,Sydney NSW,AUD 130000 - 150000 per annum,2023/11/15 15:41,20d ago
Mid - Senior DevOps Engineer,Finite IT Recruitment Solutions,Melbourne VIC,N/A,2023/11/15 15:41,8d ago
Devops Engineer,HCL Australia Services Pty Ltd,Sydney NSW,N/A,2023/11/15 15:41,11d ago
Cloud Service Specialist,Suncorp,Brisbane QLD,N/A,2023/11/15 15:41,9h ago
Kubernetes DevOps Engineer,Morgan Consulting,Mulgrave,AUD 120000 - 140000 per annum,2023/11/15 15:41,23d ago
DevOps Engineer,Provenio Partners,Sydney NSW,N/A,2023/11/15 15:41,16d ago
Cloud Automation Engineer,Compas Pty Ltd,Canberra ACT,N/A,2023/11/15 15:41,1d ago
Platform Engineer - Databricks focus,QIX Recruitment,Melbourne VIC,$200K equiv daily rate,2023/11/15 15:41,6d ago
Senior GCP Cloud Engineer,Employee First,Sydney NSW,Excellent salary on offer,2023/11/15 15:41,9d ago
"Enterprise Infrastructure Specialist, Australia & R.O.W.",N/A,Derrimut,N/A,2023/11/15 15:41,Unknown
